sor_id;orszag;tipus;eredeti_active;eredeti_on_order;eredeti_osszesen;itelet;ellenorzott_active;firm_on_order;tervezett_vagy_engedelyezett_nem_firm;programkeret_vagy_korrigalt_osszes;ervenyes_datum;megbizhatosag;valtozat_es_statusz_megjegyzes;forras_1;forras_url_1;forras_2;forras_url_2;reszletes_megjegyzes
42;Spain;Eurofighter Typhoon;70;45;115;MEGERŐSÍTVE;kb. 70;45;0;115 átmeneti programnézetben;2026-08-01;magas;"Halcon I és II; a megrendelések részben F/A-18 kiváltására szolgálnak.";Airbus: Halcón I and II contracts cover 45 new Spanish Eurofighters;https://www.airbus.com/en/eurofighter-in-spain-safeguarding-skies-and-driving-industry;FlightGlobal World Air Forces 2026: existing fleet baseline;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 70/45 felosztás helyes. A 115-ös összeg nem végleges stabil aktív flotta, mert a szállításokkal párhuzamosan régi típusok vonódnak ki.
43;Sweden;GlobalEye;2;1;3;HELYESBÍTVE;0;3;0;3;2026-08-01;magas;"A három GlobalEye svéd megrendelés szállítása 2027-től várható; a jelenlegi Saab 340 AEW&C nem GlobalEye.";Svenska Dagbladet, 2025-12-28: Sweden's three new GlobalEye aircraft;https://www.svd.se/a/n1aLpQ/malet-med-sveriges-nya-spaningsplan-globaleye-20-minuters-forvarning-innan-fienden-ar-har;Saab/Swedish procurement reporting: deliveries from 2027;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A sor a meglévő Saab 340 AEW&C-ket valószínűleg GlobalEye-ként számolta. A helyes GlobalEye-állapot 0 aktív / 3 megrendelt.
44;Sweden;JAS 39 Gripen C/D/E;90;60;150;MEGERŐSÍTVE;kb. 90 C/D leltári/aktív;60 Gripen E;"további 12 vizsgált; ukrán transzfer külön";150 programnézetben;2026-08-01;közepes;C/D és E külön változat. Az első E-k átadási/üzemeltetési státusza és a C/D-k tervezett átadása miatt gyorsan változik.;Saab, 2025-06-25: Swedish order comprises 60 Gripen E fighters;https://www.saab.com/newsroom/press-releases/2025/saab-receives-order-from-fmv-for-additional-gripen-e-equipment;FlightGlobal World Air Forces 2026: Gripen C/D inventory baseline;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A 90/60 felosztás használható kiindulópontként, de nem szabad a 150-et jövőbeli svéd aktív flottaként kezelni. Az E-k bevezetésével C/D-k vonódhatnak ki vagy kerülhetnek átadásra.
45;Sweden;UH-60M Black Hawk;15;12;27;MEGERŐSÍTVE;15;12;0;27;2026-08-01;magas;15 meglévő Hkp 16 és 12 újabb UH-60M megrendelés.;Janes: Sweden signed for 12 new UH-60Ms to add to 15 already in service;https://www.janes.com/defence-intelligence-insights/defence-news/defence/sweden-signs-for-additional-black-hawk-helicopters;FlightGlobal World Air Forces 2026;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;A felosztás helyes. A későbbi 27-es flotta csak a szállítások lezárulta után áll elő.
46;Taiwan;F-16A/BV és F-16C/D Block 70;140;66;206;MEGERŐSÍTVE;140–141 korszerűsített legacy;66 új gyártású;0;206–207;2026-03 – 2026-08;közepes;"A korszerűsített F-16V és az új Block 70 külön változat; az első új gépek átadása csúszott.";Taipei Times, 2026-03-23: 141 legacy F-16s converted and 66 new F-16Vs ordered;https://www.taipeitimes.com/News/taiwan/archives/2026/03/23/2003854328;Same source: first new-build delivery still pending in March 2026;https://www.taipeitimes.com/News/taiwan/archives/2026/03/23/2003854328;"Az eredeti 140/66 a nyílt forrású tartományon belül van. Az aktív pontos szám veszteség, karbantartás és késedelmes átadás miatt egy géppel eltérhet; az új 66-ot nem szabad a legacy aktív állományhoz adni."
47;Thailand;JAS 39 Gripen C/D és E/F;11;4;15;MEGERŐSÍTVE;11 C/D;4 E/F;további 8 hosszabb távú igény;15 firm programnézetben;2025-08-25;magas;"A firm első E/F tétel 3 Gripen E + 1 Gripen F; a hosszabb távú 12-es elképzelés nem teljes egészében szerződött.";Reuters, 2025-08-25: Sweden and Thailand signed for four Gripen E/F aircraft;https://www.reuters.com/business/aerospace-defense/sweden-agrees-sell-four-saab-gripen-fighter-jets-thailand-2025-08-25/;Saab: order comprises three Gripen E and one Gripen F;https://www.saab.com/newsroom/press-releases/2025/saab-receives-gripen-ef-order-for-thailand;A 11/4 felosztás helyes. A változatokat külön kell tartani, és a további nyolc gépes hosszú távú tervet nem szabad firm backlogként feltüntetni.
48;Turkey;F-16;240;40;280;MEGERŐSÍTVE;kb. 240;40 Block 70;modernizációs csomag külön;kb. 280 átmeneti programnézetben;2026-08-01;közepes;"Több legacy blokk és új Block 70; korszerűsítési készletek nem új gépek.";Reuters, 2024-11-27: Turkey retained the order for 40 new F-16 Block 70s and dropped 79 upgrade kits;https://www.reuters.com/business/aerospace-defense/turkey-scales-down-23-bln-f-16-jet-deal-with-us-minister-says-2024-11-27/;FlightGlobal World Air Forces 2026: legacy fleet baseline;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;"A 240/40 számpár elfogadható nyílt forrású leltárként. A pontos hadrafogható szám titkos; a 280 nem végleges flotta, mert a legacy gépek kivonása párhuzamos."
49;United Kingdom;CH-47 Chinook;0;28;28;HELYESBÍTVE;kb. 60;14 H-47ER;0;"kb. 74 átmeneti; célflotta kb. 51";2026-08-01;magas;"A 14 új H-47ER régi gépeket vált ki; nem 28-as rendelés és nem nulla jelenlegi flotta.";"UK Defence Equipment & Support: departmental fleet 60, reducing to 51; 14 CH-47ER on order";https://des.mod.uk/what-we-do/raf-procurement-support/chinook/;FlightGlobal World Air Forces 2026;https://www.flightglobal.com/defence/2025/11/2026-world-air-forces-directory/;Az eredeti sor súlyosan hibás. A brit Chinook-flotta körülbelül 60 gépes, miközben 14 új H-47ER van rendelésben. A kivonások után a célflotta nem 74, hanem nagyjából 51 körüli lehet.
50;United Kingdom;F-35B / F-35A Lightning II;37;37;74;NEM ELLENŐRIZHETŐ;kb. 47 leltári (48 átadott, 1 elveszett);0 egyértelműen igazolt az első 48 után;"12 F-35A bejelentett; hosszú távú 138-as cél";48 teljesített első tétel;2026-03 – 2026-08;közepes;"F-35B és jövőbeli F-35A külön sor; a programcél, bejelentés és aláírt rendelés elkülönítendő.";Janes, March 2026: UK received all 48 initially contracted F-35Bs;https://www.janes.com/defence-intelligence-insights/defence-news/defence/uk-receives-final-contracted-f-35;Same source: 43 operational in UK, four used in US testing, one lost;https://www.janes.com/defence-intelligence-insights/defence-news/defence/uk-receives-final-contracted-f-35;"A 37/37 adat elavult és valószínűleg a korábbi átvételi állapotot tükrözi. Az első 48 átadása lezárult; egy gép elveszett. A 12 F-35A bejelentést addig ne kezeljük firm backlogként, amíg szerződéses státusza nem egyértelmű."
51;United Kingdom;MQ-9 Reaper / Protector RG Mk1;16;0;16;TÖRLENDŐ;"MQ-9A Reaper: 0; Protector: külön rekord";Protector program külön ellenőrzendő, legfeljebb 16;0;nem összevonható;2025-09 – 2026-08;magas;Két eltérő típus és életciklus van egy mezőben.;Royal Air Force: Protector RG Mk1 is the MQ-9B-based replacement system;https://www.raf.mod.uk/aircraft/current-aircraft/protector-rg-mk-1-mq-9b11/;"RAF programme history: initial three Protector aircraft plus option for 13; Reaper retired separately";https://www.raf.mod.uk/aircraft/current-aircraft/protector-rg-mk-1-mq-9b11/;"A sort törölni és kettébontani kell. Az MQ-9A Reaper 2025-ben kivonásra került. A Protector RG Mk1/MQ-9B külön típuskódot, külön aktív és átadási státuszt igényel; a „16 active” nem védhető."
52;United States;KC-46A Pegasus;89;90;179;NEM ELLENŐRIZHETŐ;"több mint 100; kb. 105 másodlagos becslés";kb. 78–88;további 75 vizsgált, nem firm;"183–188; forrásdefiníció eltér";2025-11-25 – 2026-06-10;közepes;"Az aktív itt leszállított leltárt jelent; a mission-capable arány ennél alacsonyabb lehet.";Boeing, 2025-11-25: 183 KC-46 globally on contract/in service, 98 delivered to USAF;https://boeing.mediaroom.com/news-releases-statements?item=131617;"Reuters, 2026-06-10: more than 100 delivered; 188 ordered by USAF; further 75 only under consideration";https://www.reuters.com/business/autos-transportation/us-air-force-confident-fix-boeing-kc-46-refueling-tanker-2026-06-10/;A két erős forrás eltérő programösszeget közöl: Boeing 183 globális, szerződött/szolgálatban lévő gépet, Reuters 188 USAF-megrendelést. Ez lehet eltérő szerződés- és ügyfélkör-definíció, ezért nem rögzítek hamis pontosságú egyetlen számot. A biztonságos érték: több mint 100 átadott, 183–188 firm programkeret, és a további 75 nem firm.
